from,to,cost
28,47,1450.9244532546816
28,39,1042.6667355911572
28,51,3328.5544564421853
28,60,2181.4180044237123
28,35,270.0384098179112
28,23,3660.7445755837275
28,64,2538.6009284013444
28,36,1184.9413354827234
28,48,1019.4611483513329
28,62,1939.9624730862388
28,61,2140.555866103383
28,43,816.5853869296802
28,38,1459.98112185351
28,63,1018.8620219239189
28,17,2871.622305212185
28,42,1031.4675708121238
28,41,1055.1325771863837
28,21,1998.937571448837
28,50,1847.761980648484
28,30,2354.398697029521
28,65,2088.0490507314166
28,29,1758.7834027878887
28,19,2584.9725709745126
28,32,2911.9865852042476
28,31,853.4913437152978
28,49,566.7048596813896
28,37,2210.615640997618
29,58,499.65014907087897
29,37,451.92010640112267
29,30,834.4318680828941
29,33,1432.3653032662514
29,43,1310.881809658687
29,23,2426.9052075181385
29,57,2371.555582784574
29,41,833.8887616674202
29,39,2631.2851024870806
29,19,1901.1279289849672
29,29,0.0
29,21,534.9899595907793
29,15,1772.798067069742
29,34,722.9575200140665
29,55,1419.3383992265926
29,38,1004.2911125227207
29,32,1369.3390862692838
29,56,2012.3608960711254
29,63,2443.640249775967
29,18,2221.3478064779383
29,51,1639.3294148106431
29,22,1856.7748157982548
29,45,2121.9175929919347
29,24,2162.648755058696
29,20,1066.3335051261863
29,61,1354.8844346804315
29,46,2224.2616439986286
29,42,1204.2710567141671
29,31,971.7450039976778
29,48,958.928954983482
29,66,2623.5228567999266
29,44,1628.6215420293522
29,65,1000.4694075247455
29,35,1636.0076457327532
29,14,1889.6148524512182
29,60,1205.5562202046524
29,50,1754.2942079756892
29,36,2709.588488593718
29,16,1988.4920373088894
29,49,1239.265262993926
29,13,2771.496541936162
29,40,2018.4631434355808
29,17,2626.936173557212
29,64,2862.712574796524
29,47,2018.4408989046512
30,37,660.8030329867356
30,24,1978.948558221306
30,22,1033.8392157199185
30,32,567.1252693120284
30,58,950.9520593496862
30,30,0.0
30,65,535.5542385917986
30,31,1500.9081470988297
30,21,1218.3260119070399
30,19,2619.5461830027252
30,33,1862.0012964405075
30,39,3037.249748962051
30,17,3397.737474915878
30,15,2153.1491049976644
30,23,1598.3633181738455
30,60,1923.781782768864
30,66,2839.3897385089954
30,14,2326.2570127953095
30,34,357.16477205266716
30,45,2426.396425158009
30,46,2686.0227856539245
30,61,2106.836787843543
30,43,1679.549535750424
30,55,2025.8207773610936
30,13,3057.3926274542055
30,57,2554.9356571884746
30,16,2199.089324334191
30,56,2059.40389097656
30,18,2943.809949782427
30,44,1949.4244224530833
30,63,2787.95355148967
30,48,1361.190844773419
30,41,1300.9355175436
30,35,2162.8520252957633
30,51,1008.0330585352009
30,42,1487.854917868402
31,14,918.1146437108156
31,45,1182.4482711313378
31,15,814.9715953625674
31,44,712.6587495894322
31,35,678.9173891725951
31,33,470.5466241798841
31,63,1482.089871822661
31,43,407.37713983198324
31,32,2059.3882863331423
31,18,1499.747821867845
31,58,1452.6998153215802
31,21,1343.9667012446082
31,24,1643.4778171465562
31,13,1822.6558181351359
31,31,0.0
31,16,1115.2089325249246
31,56,1278.7631929293282
31,57,1488.3709159687967
31,41,205.30917501172087
31,48,229.96086982094778
31,42,445.9885937738011
31,38,1142.295322192871
31,36,1741.7782434325918
31,65,1265.5366749464024
31,47,1731.9890573298471
31,40,1573.678084187819
31,66,1709.4106566959847
31,20,1435.531674234808
31,23,2861.1283922859643
31,39,1659.6685965098725
31,46,1254.6678420960034
31,62,1767.815542720324
31,34,1179.838558504497
31,49,289.02694855124366
31,37,1411.9977707663259
31,55,529.6453255188405
31,22,2309.051071551082
31,54,1177.255187436014
31,60,1759.9073918996517
31,19,2338.9347797969576
31,51,2480.0918962486226
32,58,1348.1578411563714
32,55,2586.951488160269
32,61,2537.9323852051566
32,21,1661.0971674043226
32,42,2003.1637342786178
32,38,2358.9643074203514
32,37,1076.3795786370424
32,46,3213.986198463816
32,20,2344.4095565789157
32,33,2396.9570472486935
32,24,2269.2759725099427
32,32,0.0
32,17,3821.499086554515
32,34,884.7618548633743
32,51,585.2976497699785
32,22,681.8127019759454
32,16,2661.5421207730287
32,15,2669.538293752966
32,14,2853.3381041781845
32,66,3285.143306564664
32,45,2913.9316384344565
32,23,1168.0642294099443
32,35,2711.298391056641
32,19,3011.3087002482357
32,50,3075.653802115587
32,62,2824.761131509684
32,48,1906.2007037071546
32,56,2462.9252516952674
32,18,3510.9103920252373
32,57,2995.480610744422
32,63,3280.6782230666777
32,41,1856.8581846760815
32,43,2206.6171094914853
32,13,3525.1641440677076
32,65,924.6380153127793
32,47,3387.5630743252655
32,44,2455.4694489548956
33,46,825.8866590346005
33,24,1440.7034875036152
33,42,423.0650354101252
33,45,715.6318125282639
33,55,459.0353141973626
33,41,606.0986828435541
33,63,1012.9538876981086
33,35,358.2540556802334
33,16,696.9924655907978
33,57,1048.1843535088572
33,33,0.0
