from,to,cost
28,31,1311.2360182329871
28,52,2313.261445702657
28,18,3479.79126780983
28,62,2344.438593820671
28,48,2391.369294185064
28,41,2220.2289510428136
28,51,2457.0845971910276
13,0,0.0
13,24,3448.7764038644113
13,23,3929.56787003142
29,0,0.0
29,25,2006.0232359472118
29,55,723.8087139673179
29,16,645.5426580927094
29,58,1332.7741318917117
29,56,339.93379404362554
29,45,804.3327837808187
29,46,926.0293452620162
29,57,1471.9231956974374
29,15,505.91395961073204
29,41,1165.5685015688305
29,29,0.0
29,35,2030.002523970289
29,34,621.4662977834677
29,17,1101.5302190384866
29,47,614.6273132057106
29,19,779.8374227139976
29,67,1418.724198766933
29,14,1381.6448850775362
29,48,1450.9244532546816
29,40,1042.6667355911572
29,52,3328.5544564421853
29,61,2181.4180044237123
29,36,270.0384098179112
29,24,3660.7445755837275
29,65,2538.6009284013444
29,37,1184.9413354827234
29,49,1019.4611483513329
29,63,1939.9624730862388
29,62,2140.555866103383
29,44,816.5853869296802
29,39,1459.98112185351
29,64,1018.8620219239189
29,18,2871.622305212185
29,43,1031.4675708121238
29,42,1055.1325771863837
29,22,1998.937571448837
29,51,1847.761980648484
29,31,2354.398697029521
29,66,2088.0490507314166
29,30,1758.7834027878887
29,20,2584.9725709745126
29,33,2911.9865852042476
29,32,853.4913437152978
29,50,566.7048596813896
29,38,2210.615640997618
30,0,0.0
30,59,499.65014907087897
30,38,451.92010640112267
30,31,834.4318680828941
30,34,1432.3653032662514
30,44,1310.881809658687
30,24,2426.9052075181385
30,58,2371.555582784574
30,42,833.8887616674202
30,40,2631.2851024870806
30,20,1901.1279289849672
30,30,0.0
30,22,534.9899595907793
30,16,1772.798067069742
30,35,722.9575200140665
30,56,1419.3383992265926
30,39,1004.2911125227207
30,33,1369.3390862692838
30,57,2012.3608960711254
30,64,2443.640249775967
30,19,2221.3478064779383
30,52,1639.3294148106431
30,23,1856.7748157982548
30,46,2121.9175929919347
30,25,2162.648755058696
30,21,1066.3335051261863
30,62,1354.8844346804315
30,47,2224.2616439986286
30,43,1204.2710567141671
30,32,971.7450039976778
30,49,958.928954983482
30,67,2623.5228567999266
30,45,1628.6215420293522
30,66,1000.4694075247455
30,36,1636.0076457327532
30,15,1889.6148524512182
30,61,1205.5562202046524
30,51,1754.2942079756892
30,37,2709.588488593718
30,17,1988.4920373088894
30,50,1239.265262993926
30,14,2771.496541936162
30,41,2018.4631434355808
30,18,2626.936173557212
30,65,2862.712574796524
30,48,2018.4408989046512
31,0,0.0
31,38,660.8030329867356
31,25,1978.948558221306
31,23,1033.8392157199185
31,33,567.1252693120284
31,59,950.9520593496862
31,31,0.0
31,66,535.5542385917986
31,32,1500.9081470988297
31,22,1218.3260119070399
31,20,2619.5461830027252
31,34,1862.0012964405075
31,40,3037.249748962051
31,18,3397.737474915878
31,16,2153.1491049976644
31,24,1598.3633181738455
31,61,1923.781782768864
31,67,2839.3897385089954
31,15,2326.2570127953095
31,35,357.16477205266716
31,46,2426.396425158009
31,47,2686.0227856539245
31,62,2106.836787843543
31,44,1679.549535750424
31,56,2025.8207773610936
31,14,3057.3926274542055
31,58,2554.9356571884746
31,17,2199.089324334191
31,57,2059.40389097656
31,19,2943.809949782427
31,45,1949.4244224530833
31,64,2787.95355148967
31,49,1361.190844773419
31,42,1300.9355175436
31,36,2162.8520252957633
31,52,1008.0330585352009
31,43,1487.854917868402
32,0,0.0
32,15,918.1146437108156
