from,to,cost
52,15,3331.182106635904
21,21,0.0
21,22,692.4908566767896
21,51,740.1386448991763
21,61,380.0447581403421
21,62,367.99743673513785
21,36,1841.6021338885007
21,67,3081.223247385803
21,16,2161.902541436249
21,18,1565.359623431854
21,20,912.4087038223682
21,32,1435.5316742294692
21,38,1269.8598145506687
21,39,344.0650235399997
21,41,1380.2363402818155
21,47,2408.408252906853
21,57,2710.869989172907
21,58,2893.9951251531456
21,24,3464.1109999024934
21,27,2861.2426635072075
21,50,1543.8744829497286
21,63,483.54400454759383
21,64,2764.5773445450923
21,66,2057.7254600065467
21,15,2175.015572114761
21,17,2535.719574982479
21,14,3129.5018301650475
21,23,2901.3747427915423
21,25,3016.486716379734
21,46,2540.8942608069856
21,56,1548.5076952284303
21,30,1066.33350512193
21,65,1843.915385047303
21,28,1985.6400597800282
21,33,2344.4095565758657
21,35,1788.4278893124074
21,44,1839.6962264714757
21,45,2124.6735886102456
21,48,1224.063441911085
21,55,2446.0281437716258
21,19,1861.8964007430488
21,34,1845.8550632868662
21,42,1454.130002171481
22,16,2157.0149020850586
22,28,1697.24102081967
22,38,585.0193159526837
22,61,707.9486140240659
22,18,2180.194205717354
22,20,1407.493060904637
22,39,805.2007831700911
22,43,1666.5619819286067
22,51,1432.3293025379903
22,30,534.9899595860277
22,33,1661.097167409394
22,44,1731.5212978501222
22,57,2505.664002719408
22,62,889.0197530250397
22,63,1166.1868489003618
22,15,2236.655490037977
22,25,2690.5997072913565
22,67,3050.0178402365714
22,27,2573.4968099175785
22,45,2048.693294917545
22,48,1853.027696533958
22,22,0.0
22,23,2246.0079076471184
22,36,1940.1292220794082
22,65,2535.053462595273
22,24,2799.199134087748
22,35,1214.4711096267813
22,14,3164.7938777565855
22,47,2539.8399226044316
22,58,2816.331963892468
22,55,2505.6678313328466
22,29,1998.9375714399628
22,41,1940.5256397866244
22,19,2292.452199437323
22,17,2435.2472657606677
22,34,1813.182680416611
22,56,1677.6592581065124
22,64,2817.982583429737
22,66,1506.4086541738386
22,46,2526.3804829740166
22,40,2966.314057614781
22,32,1343.966701234254
22,49,1399.8611639979918
22,42,1262.4248536855278
39,67,2750.5320180579947
39,16,1833.0394428883528
39,28,1736.9716531611464
39,29,1459.981121855428
39,20,1202.2301678373228
39,56,1208.4808585788332
39,32,1142.295322192871
39,36,1502.1526916393766
39,39,0.0
39,40,2498.400949382121
39,62,693.5492366880321
39,51,769.152682149493
39,15,1837.1816950457146
39,25,2762.3254446659257
39,58,2571.979161683455
39,46,2210.5569201856133
39,30,1004.2911125227207
39,50,1219.9328753123978
39,14,2790.709823192283
39,55,2107.0978194235254
39,34,1526.1628571009096
39,27,2595.1922711673296
39,45,1809.6819271742124
39,64,2425.1231342804717
39,57,2420.575454225855
39,41,1139.2163508673236
39,19,1555.1747529108743
