60,27,583.658074525442
60,32,950.9520593496862
60,38,3194.4769412527335
60,53,1430.533273652069
60,22,1021.8836982712322
60,23,330.5097247819611
60,40,1122.3014795170625
60,62,991.5699887234848
60,68,3122.4022688047494
60,25,2500.422325083078
60,34,1348.1578411563714
60,39,290.4659990700312
60,24,1958.016231903675
60,28,2525.6443895443
60,29,1679.7712578056974
60,36,1023.3864431071447
60,52,1762.006126445291
60,60,0.0
60,64,1491.1339054755392
60,67,1320.1685618849854
60,19,2475.4802865881675
60,51,1705.1428744149764
60,59,2871.204511678203
60,35,1919.9403358610286
60,43,1329.1367091171855
60,63,1189.7747606713285
60,65,2932.8650408685753
60,26,2618.754750747002
60,33,1452.6998153215802
60,15,3265.6403762202553
60,17,2262.7919098400607
60,21,1677.0204544571727
60,31,499.65014907087897
60,47,2617.2752246274968
60,20,2558.814668026262
60,37,2097.4661575040855
60,48,2693.553880650442
60,44,1703.8731136906515
60,18,2488.1349207731696
27,24,2066.839130843431
27,27,0.0
27,26,3098.0840481236064
27,25,2544.244583296512
27,53,1221.4970407064504
27,28,3027.806885374029
27,47,3194.017941569399
27,39,695.7888320380673
27,19,2585.7394474539196
27,21,1749.3610474475038
27,32,1216.8995370034122
27,23,798.9471011252284
27,34,1389.3534001754963
27,22,1376.8687384378438
27,35,2501.423099114368
27,63,1398.6401705774317
27,16,2952.3257976616587
27,59,3435.05102245886
27,17,2843.416268393986
27,48,3277.0153691107676
27,49,2596.8255778793505
27,31,1072.1337550606925
27,68,3692.2343339761874
32,35,1862.0012964405075
32,31,834.4318680828941
32,23,1218.3260119092963
32,24,1033.8392157199185
32,41,3037.249748962466
32,67,535.5542386015999
32,17,2153.149105003981
32,39,660.8030329873648
32,19,3397.737474915878
32,25,1598.363318174511
32,34,567.1252693120284
32,16,2326.2570127953095
32,68,2839.3897385089954
32,28,1954.502787087855
32,47,2426.396425163654
32,62,1923.7817827653237
32,32,0.0
32,36,357.16477205266716
32,26,1978.948558221306
32,48,2686.0227856589436
32,30,2354.398697033039
32,45,1679.549535758511
32,15,3057.3926274542055
32,59,2554.9356571884746
32,57,2025.8207773610936
32,18,2199.089324334191
32,58,2059.40389097656
32,29,1311.2360182329871
32,46,1949.4244224618956
32,33,1500.9081470988297
32,65,2787.9535515005987
32,50,1361.1908447745973
32,43,1300.935517550222
32,37,2162.8520252957633
32,53,1008.0330585274238
32,44,1487.8549178720323
38,15,290.50023773643466
38,26,1813.7633935395497
38,28,1623.0397641675677
38,17,941.3448379957275
38,20,1628.52933144232
38,30,1184.9413354814737
38,35,1277.3570499692603
38,38,0.0
38,41,176.4086721694964
38,47,653.4666664738503
38,48,570.3142003731598
38,58,1283.7410261140149
38,68,550.8098323149205
38,18,937.7362191275462
38,33,1741.7782434325918
38,37,1140.7681353924906
38,16,829.8710232256287
38,29,1773.1643218791085
38,56,564.5368589704395
38,59,744.846377614019
38,67,2646.2301282521285
38,44,1588.3595550283628
38,45,1419.3890865497178
38,43,1881.364300031147
38,49,2545.1637034691366
38,51,1503.5920831150424
38,42,2224.1315326179133
38,65,285.6806624563724
38,57,1428.4320392745663
38,24,3564.145634950794
38,40,2630.2305840022514
38,21,3769.896098127104
38,46,1124.7262703391434
38,50,1771.0149551844568
38,63,3318.394342935389
38,25,4010.428296563675
38,31,2709.588488593718
38,36,2715.5474211103137
38,53,4079.6383720852896
53,23,1760.6305584257648
53,34,585.2976497647659
53,68,3830.8480025813597
53,59,3543.2793067951125
53,28,2870.8766626081933
53,58,3024.4857733773856
53,25,1451.548984872379
53,26,2852.6917991885684
53,17,3160.711841444005
53,39,1231.8988262603468
53,65,3795.0026197272423
53,64,2904.3881405726065
53,57,2992.723559494635
53,31,1639.3294148021562
53,30,3328.554456437328
53,21,2963.6201693935323
53,35,2864.599547172091
53,24,1132.708872469885
53,29,2313.2614456951856
53,36,1364.1654037943963
53,53,0.0
53,15,4058.3421649740126
53,63,2562.913201007686
53,47,3432.240060812655
53,37,3153.3652727310073
53,43,2287.3119756923097
53,51,2769.0412380654757
53,4,5073.2521658996475
53,16,3331.182106635904
22,22,0.0
22,23,692.4908566767896
22,52,740.1386448991763
22,62,380.0447581403421
22,63,367.99743673513785
22,37,1841.6021338885007
22,68,3081.223247385803
22,17,2161.902541436249
22,19,1565.359623431854
22,21,912.4087038223682
22,33,1435.5316742294692
22,39,1269.8598145506687
22,40,344.0650235399997
22,42,1380.2363402818155
22,48,2408.408252906853
22,58,2710.869989172907
22,59,2893.9951251531456
22,25,3464.1109999024934
22,28,2861.2426635072075
22,51,1543.8744829497286
22,64,483.54400454759383
22,65,2764.5773445450923
22,67,2057.7254600065467
22,16,2175.015572114761
22,18,2535.719574982479
22,15,3129.5018301650475
22,24,2901.3747427915423
22,26,3016.486716379734
22,47,2540.8942608069856
22,57,1548.5076952284303
22,31,1066.33350512193
22,66,1843.915385047303
22,29,1985.6400597800282
22,34,2344.4095565758657
22,36,1788.4278893124074
22,45,1839.6962264714757
22,46,2124.6735886102456
22,49,1224.063441911085
22,56,2446.0281437716258
22,20,1861.8964007430488
22,35,1845.8550632868662
22,43,1454.130002171481
23,17,2157.0149020850586
